"postDate";"postTime";"post_content";"signature_content";"username";"userlink";"usertitle";"userrank";"user_joindate";"user_location";"user_NumberOfPosts"
"01-23-2016";" 06:02 PM";"Hey Guys. Looking for opinions and experiences on this topic. Thanks.";"DOB:Feb 1958
PSA: 1/13:2.9 1/14: 4.1 3/14: 3.4 9/14: 4.4 3/15: 4.3 9/15: 5.9 PC/Father
DRE: Normal with above tests
Biopsy: 10/1/15. Second Opinion University of Chicago. 9 of 12 cores positive. G6: 5 cores, G7 ( 4+3) 4 cores
10/12/15: Ct scan/bone scan- Both negative
Clinical Staging: 10/28/15 T2c
Surgery ( RALP) UC scheduled 12/29/15

Final Pathology Report; Jan. 6 2016

15 lymph nodes; no tumor present
gleason upgraded to 9 ( 4+5)
EPE; present
Lymphovascular invasion present
Right SV Positive
Left SV and vasa deferentia, no tumor present
PIN
Perineural invasion present
Tumor location: Preipheral zone right; and left transition zone
Tumor volume est 45%
2 positive margins of 4 ( Periphera and distal)
Staging: pT3bNO
UPSA: 2/9/16 0.05
UPSA: 3/23/16 0.11
Casodex: 4/1/16- 8/5/16
Lupron: 4/15/16... 9 months, as of now
SRT: 6/14/16...8/5/16 38 treatments completed
8/10/16. UPSA <0.05";"MichiganMan16";"http://www.cancerforums.net/members/117327-MichiganMan16";"";"Senior User";"Sep 2015";"Not Found";"423"
"01-23-2016";" 06:14 PM";"MM, with your G9, EPE and Positive Margins, i would probably err on the side of caution and get ART as soon as possible. Try to wait until you are healed and fully continent, from what I've read, any progress you make in continence, and i think ED, will be stopped in its tracks - not reversed, but not get any better - once you have RT

So its a tough call. Listen, as I've told you, i have a friend whose dad had epe with G9, 15 years ago, and never had RT, PSA stayed at zero for about 13 years. I guess its a very personal choice - do you want to take the risk, in hopes you get lucky?

If you wait, i would ask for very close monitoring of PSA, and jump on any rise (2 in a row)";"Diagnosed at age 64 (in November, 2014), PSA 4.32
Nov 2014 BX 3 of 12 cores positive original pathology G6 10%, G6 20%, second biopsy, 1st negative
G8 (3+5), 70%. Johns Hopkins second opinion, G3+5=8 downgraded to 3+3=6 @80%
Surgery with Dr Ash Tewari Jan 6, 2015
Post surgical pathology, stage T2c, bilateral disease, upstaged to G7(3+4)
5% of Prostate involved in Tumor
Organ confined, negative Margins, negative SV, negative lymph nodes (9) PNI positive
PSA 2/15 <.02, 4/15<.02, 7/15<.02, 10/15 0.00 (different lab), 1/16 0.00";"Pratoman";"http://www.cancerforums.net/members/71581-Pratoman";"";"Top User";"Sep 2015";"Not Found";"423"
"01-23-2016";" 07:48 PM";"Pratoman, What happened to his PSA after year 13? Steve";"DOB 8/30/56
Post Op 9 week PSA 0.01
December 16 Final Pathology Report Johns Hopkins
Gleason score dominant nodule 4+5=9
Gleason score secondary nodule 3+4=7
Extraprostatic extension present
Seminal vesicle invasion - None
Lymphatic Invasion - Absent
Primary Tumor pT3a
Prostate weight 33.7 grams
Summed length of positive margin 3mm - highest grade at point of margin 4+4=8
Area directly adjacent to harvested core comes within <0.1cm of the nearest inked black capsule

December 9 - Johns Hopkins Robotic RP - Dr. Mohammad Allaf
October - Johns Hopkins upgrades 4+4 to 4+5+9

September Biopsy 5/13 positive; Gleason 4+3, 3+4, 4+3, 4+3, 4+4.
March 2015 PSA 3.1

2011 PSA 1.9; 2013 PSA 3.7, 8/2014 PSA 3.3, 9/2014 PSA 2.9 -
abnormal DRE 9/2014
Biopsy 1!/2014 - Results 3/12 cores positive; all 3 cores Gleason 3+3, (right apex lateral <5%, left apex medial 25%, left mid lateral 10%";"trinity3";"http://www.cancerforums.net/members/112782-trinity3";"";"Senior User";"Sep 2015";"Not Found";"423"
"01-23-2016";" 09:16 PM";"MM:
As soon as I saw a PSA upward trend, three years after surgery, I was pounding on the door of the salvage radiation treatment center and requesting to be zapped. So far, so good in my case.
As Pratoman pointed out, with your surgical pathology report of Gleason 9 and positive margins, the idea of ""waiting and monitoring"" is something that I could have never considered.
In my view, any side effects can be ignored when survival is the primary objective.
But that's just one guy's opinion.
I wish you the best,
Jim";"LUNG
Age: 71 -- 12/2013 - Cat Scan sees new irregular 1.8 cm nodule in right middle lobe.
3/13/14 - PET Cat Scan confirms presence of same nodule -- same size. Nodule lights up indicating likelihood of lung cancer -- Location not conducive to biopsy.
3/17/14 - Three top doctors say it MUST come out via a wedge re-section. If cancerous, the entire right middle lobe must be surgically removed.
6/13/14 - Nodule shrank by 1/3. Not cancer. Surgery cancelled. Next scan 9/14. Nodule ""resolved"" - gone.

PROSTATE
Age: 67 -- 2/2010 - PSA: 4.05
8/2010 - PSA: 4.95
9/2010 - Biopsy - 2 out of 12 cores positive - Gleason: 3+4=7
11/8/2010 - DaVinci RALP - small positive margin - was told it was meaningless.
2/11 - PSA: 0.02; 8/11 - PSA: 0.04; 2/12 - PSA: 0.06; 8/12 - PSA: 0.08; 2/13 - PSA: 0.11; 5/13 - PSA: 0.16 - referred to oncology radiologist.
9/2013: 40 sessions of IMRT salvage radiation completed.
1/14, 4/14, 7/14, 10/14, 1/15, 8/15, 3/16, 8/16 - All PSA: 0.00";"Jim215";"http://www.cancerforums.net/members/110833-Jim215";"";"Top User";"Sep 2015";"Not Found";"423"
"01-23-2016";" 10:50 PM";"MM, I am one of the foremost advocates of not rushing into treatment....But, with your pathology report, I don't think that there can be any doubt that treatment is needed soon, and that any waiting and monitoring would be highly risky for you.

You have surgery scheduled, and that gives you a good chance to beat the cancer. Just do it.";"DOB: May 1944
In Active Surveillance program at Johns Hopkins
Five biopsies from 2009 to 2014. The third and fourth biopsies were positive with one core and three cores <5% and G 3+3. Fifth biopsy was negative.
OncotypeDX: 86 percent chance of PCa remaining indolent
August 2015: tests are stable; no MRI or biopsy this year for my AS program
August 2016: MRI unchanged from 2/2014; PSA=3.9; FPSA=26; PHI=28. No biopsy necessary.

A NOTE ON PSA: My readings have been erratic for over 10 years; typically being 3.5-4.2, but spiking to over 10 at times.
These spikes are asymtomatic to me, and resolve themselves. A prostate biopsy can triple the PSA, which lasts for months.
Last Free PSA was 26. I don't worry about PSA spikes anymore.";"ASAdvocate";"http://www.cancerforums.net/members/113924-ASAdvocate";"";"Senior User";"Sep 2015";"Not Found";"423"
"01-23-2016";" 10:56 PM";"I just discussed this very topic with my surgeon from Johns Hopkins yesterday. There are two schools of thought. If psa is undetectable, it could be monitored closely and only given treatment once psa becomes detectable. He indicated it is very possible that all the cancer was removed. It is true, that with a Gleason 9, which I have, there is additional risk. One option Dr. Allaf suggested was - if psa is undetectable, perform a genetic test on the prostatectomy sample - if score is high, this would lead to more caution by proceeding immediately with AR. If score is low, we could monitor closely. If psa is detectable - all bets are off and most likely looking at Early Salvage treatment. Steve";"DOB 8/30/56
Post Op 9 week PSA 0.01
December 16 Final Pathology Report Johns Hopkins
Gleason score dominant nodule 4+5=9
Gleason score secondary nodule 3+4=7
Extraprostatic extension present
Seminal vesicle invasion - None
Lymphatic Invasion - Absent
Primary Tumor pT3a
Prostate weight 33.7 grams
Summed length of positive margin 3mm - highest grade at point of margin 4+4=8
Area directly adjacent to harvested core comes within <0.1cm of the nearest inked black capsule

December 9 - Johns Hopkins Robotic RP - Dr. Mohammad Allaf
October - Johns Hopkins upgrades 4+4 to 4+5+9

September Biopsy 5/13 positive; Gleason 4+3, 3+4, 4+3, 4+3, 4+4.
March 2015 PSA 3.1

2011 PSA 1.9; 2013 PSA 3.7, 8/2014 PSA 3.3, 9/2014 PSA 2.9 -
abnormal DRE 9/2014
Biopsy 1!/2014 - Results 3/12 cores positive; all 3 cores Gleason 3+3, (right apex lateral <5%, left apex medial 25%, left mid lateral 10%";"trinity3";"http://www.cancerforums.net/members/112782-trinity3";"";"Senior User";"Sep 2015";"Not Found";"423"
"01-23-2016";" 11:18 PM";"Originally Posted by ASAdvocate
MM, I am one of the foremost advocates of not rushing into treatment....But, with your pathology report, I don't think that there can be any doubt that treatment is needed soon, and that any waiting and monitoring would be highly risky for you.

You have surgery scheduled, and that gives you a good chance to beat the cancer. Just do it.


AS: Just to be clear, I already had the surgery. It was on 12/29/15. It has been about 4 weeks. My thread/question here was how to proceed as my PSA tests are coming up. I have a 6W and 12W, followed by a sit down with the surgeon at the 12W mark. I have been very pro-active throughout this entire process, doing all the things one should. Just happen to be one of the guys with a higher risk profile. Thanks for your support. MM";"DOB:Feb 1958
PSA: 1/13:2.9 1/14: 4.1 3/14: 3.4 9/14: 4.4 3/15: 4.3 9/15: 5.9 PC/Father
DRE: Normal with above tests
Biopsy: 10/1/15. Second Opinion University of Chicago. 9 of 12 cores positive. G6: 5 cores, G7 ( 4+3) 4 cores
10/12/15: Ct scan/bone scan- Both negative
Clinical Staging: 10/28/15 T2c
Surgery ( RALP) UC scheduled 12/29/15

Final Pathology Report; Jan. 6 2016

15 lymph nodes; no tumor present
gleason upgraded to 9 ( 4+5)
EPE; present
Lymphovascular invasion present
Right SV Positive
Left SV and vasa deferentia, no tumor present
PIN
Perineural invasion present
Tumor location: Preipheral zone right; and left transition zone
Tumor volume est 45%
2 positive margins of 4 ( Periphera and distal)
Staging: pT3bNO
UPSA: 2/9/16 0.05
UPSA: 3/23/16 0.11
Casodex: 4/1/16- 8/5/16
Lupron: 4/15/16... 9 months, as of now
SRT: 6/14/16...8/5/16 38 treatments completed
8/10/16. UPSA <0.05";"MichiganMan16";"http://www.cancerforums.net/members/117327-MichiganMan16";"";"Senior User";"Sep 2015";"Not Found";"423"
"01-23-2016";" 11:27 PM";"Prato, Thank u. Jim215: I guess I should have phrased it different. Clearly if PSA starts heading north, it's a call to action. I am with one of the best medical teams around, I could not imagine any other response. But, what if my PSA is in the zero club? Just looking for some different views and experiences. And yes, being cancer free and survival is my primary goal. The SE will be what they are. I want to stick around!! As always, thanks for your wise counsel. Regards, MM";"DOB:Feb 1958
PSA: 1/13:2.9 1/14: 4.1 3/14: 3.4 9/14: 4.4 3/15: 4.3 9/15: 5.9 PC/Father
DRE: Normal with above tests
Biopsy: 10/1/15. Second Opinion University of Chicago. 9 of 12 cores positive. G6: 5 cores, G7 ( 4+3) 4 cores
10/12/15: Ct scan/bone scan- Both negative
Clinical Staging: 10/28/15 T2c
Surgery ( RALP) UC scheduled 12/29/15

Final Pathology Report; Jan. 6 2016

15 lymph nodes; no tumor present
gleason upgraded to 9 ( 4+5)
EPE; present
Lymphovascular invasion present
Right SV Positive
Left SV and vasa deferentia, no tumor present
PIN
Perineural invasion present
Tumor location: Preipheral zone right; and left transition zone
Tumor volume est 45%
2 positive margins of 4 ( Periphera and distal)
Staging: pT3bNO
UPSA: 2/9/16 0.05
UPSA: 3/23/16 0.11
Casodex: 4/1/16- 8/5/16
Lupron: 4/15/16... 9 months, as of now
SRT: 6/14/16...8/5/16 38 treatments completed
8/10/16. UPSA <0.05";"MichiganMan16";"http://www.cancerforums.net/members/117327-MichiganMan16";"";"Senior User";"Sep 2015";"Not Found";"423"
"01-24-2016";" 12:02 AM";"Sorry, MM, I misread the surgery date as being in the future.

The others here can give you great advice. Best of luck to you.";"DOB: May 1944
In Active Surveillance program at Johns Hopkins
Five biopsies from 2009 to 2014. The third and fourth biopsies were positive with one core and three cores <5% and G 3+3. Fifth biopsy was negative.
OncotypeDX: 86 percent chance of PCa remaining indolent
August 2015: tests are stable; no MRI or biopsy this year for my AS program
August 2016: MRI unchanged from 2/2014; PSA=3.9; FPSA=26; PHI=28. No biopsy necessary.

A NOTE ON PSA: My readings have been erratic for over 10 years; typically being 3.5-4.2, but spiking to over 10 at times.
These spikes are asymtomatic to me, and resolve themselves. A prostate biopsy can triple the PSA, which lasts for months.
Last Free PSA was 26. I don't worry about PSA spikes anymore.";"ASAdvocate";"http://www.cancerforums.net/members/113924-ASAdvocate";"";"Senior User";"Sep 2015";"Not Found";"423"
"01-24-2016";" 01:55 AM";"Originally Posted by trinity3
if psa is undetectable, perform a genetic test on the prostatectomy sample - if score is high, this would lead to more caution by proceeding immediately with AR. If score is low, we could monitor closely. If psa is detectable - all bets are off and most likely looking at Early Salvage treatment. Steve
Sounds like a good course of action, with the caveat that if the genetic score is low and the PSA is undetectable, monitor with follow up with six-week PSA tests for at least a year if not longer... Good Luck";"BD: 1959 PSA 4.9 11/2012 (no symptoms)
Biopsy 12/2012 Negative
PSA 5.9 05/2013 (still no symptoms)
Biopsy 6/2013 3+4 (thank goodness for PSA tests)
1 core positive (upper left), 1 suspicious (lower left) out of 12
DRE: bump right side T1c; PCA-III = 20 (normal)

Da Vinci 7/18/2013: Invasive carcinoma involves left lobe of prostate only, extends from left apex to posterior mid region of left lobe Gleason 7/10 (4+3); G4 tumor comprises 75% of invasive carcinoma present
Estimated total volume of carcinoma in entire prostate gland: 10%
TNM: T2b NX MX (Stage IIA)

8/25/13 11/4/13 2/11/14 8/1/14 2/15/15 8/20/15 3/1/16, 8/30/16 - PSA undetectable
Pad-free, semi-erections; very happy with caverject

My Story:
T-Minus-36-Hours-until-da-Vinci...
Catheter is Out!";"ddayglo";"http://www.cancerforums.net/members/104661-ddayglo";"";"Top User";"Sep 2015";"Not Found";"423"
